"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4917","Кнопка Sing In /account/","chromium","Fri Jul 18 12:13:19 GMT 2025","passed","Fri Jul 18 12:13:24 GMT 2025","5 UI тестов на поиск ошибок","","",""
"","18","13 /todos(201) max out content","chromium","Fri Jul 18 12:13:15 GMT 2025","passed","Fri Jul 18 12:13:15 GMT 2025","","","",""
"","14","58 /todos/{id} (200) all","chromium","Fri Jul 18 12:13:15 GMT 2025","passed","Fri Jul 18 12:13:15 GMT 2025","","","",""
"","26","02 /challendes(200)","chromium","Fri Jul 18 12:13:14 GMT 2025","passed","Fri Jul 18 12:13:14 GMT 2025","","","",""
"","4595","Расположение названия поля Password","chromium","Fri Jul 18 12:38:32 GMT 2025","passed","Fri Jul 18 12:38:37 GMT 2025","5 UI тестов на поиск ошибок","","",""
"","20","14 /todos(413) content too long","chromium","Fri Jul 18 12:13:15 GMT 2025","passed","Fri Jul 18 12:13:15 GMT 2025","","","",""
"","2058","Отображение определенного количества товаров на странице","chromium","Fri Jul 18 12:13:15 GMT 2025","passed","Fri Jul 18 12:13:17 GMT 2025","5 UI тестов на поиск ошибок","","",""
"","18","25 /todos(200) XML","chromium","Fri Jul 18 12:13:15 GMT 2025","passed","Fri Jul 18 12:13:15 GMT 2025","","","",""
"","500040","Возврат к покупкам после очистки корзины","chromium","Fri Jul 18 12:30:12 GMT 2025","broken","Fri Jul 18 12:38:32 GMT 2025","5 UI тестов на поиск ошибок","","",""
"","5262","Расположение кнопки Sing In на странице продукта","chromium","Fri Jul 18 12:13:24 GMT 2025","passed","Fri Jul 18 12:13:30 GMT 2025","5 UI тестов на поиск ошибок","","",""
